Persona,Approx Group,Date Active,Status,Handle,ID,Name,Followers,Tweets,Date Created,Date Suspended
Florida Groyper,America First,2022-05-25,Suspended,@transcommunism,1529498475066425350,Fłörïdâ,108,,2022-05-25,2022-05-26
Florida Groyper,America First,2022-05-26,Suspended,@innocentliberal,1529061692264660994,,,,2022-05-24,2022-05-25
Florida Groyper,America First,2022-05-27,Suspended,@GroyperFlorida,,,,,,2022-05-27
Florida Groyper,America First,2022-05-29,Suspended,@cringe_disliker,,,,,,2022-05-29
Florida Groyper,America First,2022-06-01,Suspended,@WithFg,1531809233380880384,ʄʟօʀɨɖǟ ɢʀօʏքɛʀ,49,,2022-05-31,2022-06-02
Florida Groyper,America First,2022-06-15,Suspended,@FloGro14,1535619653594009600,,,,2022-06-07,2022-06-15
Florida Groyper,America First,2022-06-20,Suspended,@angry_zoomer88,,,,,,2022-06-20
Floyd,RGC,2021-11-11,Suspended,@PunishedFloyd,1421482530604154892,Fløyd Respecter,551,,2021-07-31,
Floyd,RGC,2022-01-12,Suspended,@GeorgeFlolyd,1452473561558384640,George Floyd,261,,2021-10-24,2022-01-23
Floyd,RGC,2022-02-16,Suspended,@CantBreathe1488,1493758604515577858,George Floyd,24,,2022-02-15,2022-02-25
Floyd,RGC,2022-02-26,Suspended,@TedFloyd88,1495790455019216905,Ted Floyd🌐,20,,2022-02-21,2022-02-28
Floyd,RGC,2022-02-27,Suspended,@OFGeorgeFloyd,1491866065953083395,George Floyd,103,,2022-02-10,2022-02-28
Floyd,RGC,2022-03-01,Suspended,@RespectingFloyd,1498151205230444544,Floyd Respecter,45,,2022-02-27,2022-03-01
Floyd,RGC,2022-03-08,Suspended,@TungstenFloyd,1496906649277247492,George Floyd In Real Life,67,,2022-02-24,2022-03-09
Floyd,RGC,2022-04-21,Suspended,@EvilGeorgeFloyd,1516794273156448264,real jason todd,12,,2022-04-20,2022-04-22
Floyd,RGC,2022-04-25,Suspended,@FloydsDouble88,1518061654587682816,George Floyd’s Stunt Double,28,,2022-04-23,2022-04-26
Floyd,RGC,2022-05-05,Suspended,@FloydFreemon,1521290964798742531,George Freeman,32,,2022-05-02,2022-05-06
Floyd,RGC,2022-05-30,Suspended,@georgefloydrape,1415650006640570373,🤧,65,,2021-07-15,2022-05-31
Floyd Pepper,,2019-11-18,Suspended,@frenlynotsee,1173376389963272192,Floyd Pepper,525,,2019-09-16,2019-11-19
Floyd Pepper,,2019-11-20,Suspended,@GroyperSeason,1191879217371328512,Floyd Groyper,587,,2019-11-07,2021-02-05
Floyd Pepper,,2020-01-06,Suspended,@GroyperSeasons,1206218397308084227,Confederate Groyper,,,2019-12-15,2020-01-06
Floyd Pepper,,2020-01-09,Suspended,@Groyper_Season,1213919590410964992,Groyper Season,,,2020-01-06,2020-01-09
Floyd Pepper,,2020-01-10,Suspended,@Groyper__Season,1214991920243576832,Groyper Season,,,2020-01-09,2020-01-10
Floyd Pepper,,2020-01-23,Suspended,@SeasonGroyper,1219760008608538625,Groyper Season,,,2020-01-22,2020-01-23
Floyd Pepper,,2020-01-30,Suspended,@_Groyper_Season,1220868908997058560,Floyd Groyper,,,2020-01-24,2020-01-30
Floyd Pepper,,2020-02-03,Suspended,@FloydPrepper,1223340890594381824,Floyd Prepper,,,2020-02-01,2020-02-03
Floyd Pepper,,2020-02-05,Suspended,@FloydPepper9,1224835259503665153,Floyd Groyper,,,2020-02-05,2020-02-05
Foreskin,The Shed,2019-06-10,Suspended,@foreskin50000,1137832698507071488,Foreskin500,,,2019-06-10,2019-06-12
Foreskin,The Shed,2019-06-12,Suspended,@punishedforesk1,1138936692553977857,punished foreskin,,,2019-06-13,2019-06-14
Foreskin,The Shed,2019-06-18,Suspended,@GroyperSZN,1140132616735272960,Foreskin Groyper,,,2019-06-16,2019-06-19
Foreskin,The Shed,2019-06-18,Suspended,@WanglinAndre,1139376303373574144,500 foreskins,,,2019-06-14,2019-06-19
Foreskin,The Shed,2019-06-21,Suspended,@ForeskinGroyped,1141332256289710081,Foreskin Groyper,,,2019-06-19,2019-06-22
Foreskin,The Shed,2019-07-12,Suspended,@ForeskinGroypvr,1142470197087023105,ForeskinGroyper,,,2019-06-23,
Foreskin,The Shed,2019-07-15,Suspended,@foreskvn,1150443697877737472,Foreskin Groyper [REFOLLOW],,,2019-07-15,
Foreskin,The Shed,2019-11-06,Suspended,@RAPEWAVE,1191758409323991042,Foreskin Groyper,2110,,2019-11-06,2019-12-10
Foreskin,The Shed,2019-12-10,Suspended,@womendefiler,1204068722446667776,LeForeskin Groyper(REFOLLOW),,,2019-12-10,2019-12-10
Foreskin,The Shed,2019-12-12,Suspended,@foreskinstein,1106786448659763200,Rabbi Kvetchowitz Foreskinstein,714,,2019-03-16,2018-12-18
Foreskin,The Shed,2020-05-28,Suspended,@AWFLMurderer,1265792577191776256,Foreskin Groyper,,,2020-05-28,2020-07-08
Foreskin,The Shed,2020-10-07,Suspended,@ForeskinEl,94764314,Foreskine Bowles,,,2009-12-05,
Foreskin,The Shed,2021-01-14,Suspended,@earlylifecheck,1349761839987613698,Foreskin Groyper,,,2021-01-14,2021-01-29
Foreskin,The Shed,2021-02-01,Suspended,@ForeskINCEL,1356286933006233602,𝐅oreskin Groyper,,,2021-02-01,2021-02-12
Foreskin,The Shed,2021-02-11,Suspended,@ForesklNCEL,1360008862951161861,𝐅𝐨𝐫𝐞𝐬𝐤𝐢𝐧 𝐆𝐫𝐨𝐲𝐩𝐞𝐫(REFOLLOW),,,2021-02-11,2021-02-21
Foreskin,The Shed,2021-02-19,Suspended,@ForeskinMANE,1362911233515528193,Foreskin Groyper,704,,2021-02-19,2021-02-28
Foreskin,The Shed,2021-02-28,Suspended,@itsfuckingover,1365799118417854464,Foreskin Groyper,,,2021-02-28,2021-03-02
Foreskin,The Shed,2021-03-01,Suspended,@racesoIdier,1366465517410738177,Fvreskin Grvyper,,,2021-03-01,2021-03-04
Foreskin,The Shed,2021-03-04,Suspended,@RapeEnjoyer,1367600785203343366,F֎reskin Gr֎yper,,,2021-03-04,2021-03-16
Foreskin,The Shed,2021-03-29,Suspended,@sexualviolator,1376660978918690819,F֍reskin,,,2021-03-29,2021-04-10
Foreskin,The Shed,2021-04-10,Suspended,@inceloccultist,1380693683385810944,֎ F O R E S K I N ֎,,,2021-04-10,2021-04-25
Foreskin,The Shed,2021-04-24,Suspended,@WhiteGoySummer,1385998774565105666,F֍RESKIN,,,2021-04-24,2021-05-17
Foreskin,The Shed,2021-05-09,Suspended,@inceloccult,1394101308085440513,F֍RESKIN,621,,2021-04-24,
Foreskin,The Shed,2021-05-19,Suspended,@jewsgaveme7day,1394839804903309313,FORESKIN,,,2021-05-19,2021-06-25
Foreskin,The Shed,2021-06-15,Suspended,@jewsgaveme7days,1398099436736331776,☭ F֍RESKIN 𓂺 ☭,920,,2021-05-27,2021-07-05
Foreskin,The Shed,2021-07-04,Suspended,@incelgrindset,1411528706221350914,F֍RESKIN 𓂺 refollow,,,2021-07-04,2021-07-09
Foreskin,The Shed,2021-07-08,Suspended,@Foreschitzo,1413239882760196104,F☭RESKIN,833,,2021-07-08,2021-07-19
Foreskin,The Shed,2021-07-09,Suspended,@ribtard,1413628429354799107,foreskin v2,380,,2021-07-09,2021-09-18
Foreskin,The Shed,2021-07-19,Suspended,@inceItaliban,1416930152521605125,F☭RESKIN,571,,2021-07-19,2021-09-18
Foreskin,The Shed,2021-10-09,Suspended,@hoelessinceI,1438950500657872896,F☭RESKIN,2758,,2021-09-17,2021-10-20
Foreskin,The Shed,2021-10-21,Suspended,@inceltaIiban,1442923718150397953,incel taliban ☭,1410,,2021-09-28,2021-10-26
Foreskin,The Shed,2021-11-09,Suspended,@inceltalibxn,1457872761263697922,INCEL T☭LIBAN,492,,2021-11-08,2021-11-10
Foreskin,The Shed,2021-11-09,Suspended,@inceIgestapo,1452807620205613059,F☭RESKIN,2429,,2021-10-25,2021-11-10
Foreskin,The Shed,2021-11-14,Suspended,@werebackitsover,1281847663680344065,F☭RESKIN(RE-UP),1285,,2020-07-11,2021-11-29
Foreskin,The Shed,2021-11-15,Suspended,@inceI1337,1460124200467841025,incel taliban,204,,2021-11-15,2021-11-19
Foreskin,The Shed,2021-11-19,Suspended,@incelFTW,1461769515075878917,INCEL ☭ TALIBAN,220,,2021-11-19,2021-11-22
Foreskin,The Shed,2021-11-21,Suspended,@itsoverwereback,1462495549500895246,INCEL TALIB☭N,721,,2021-11-21,2021-11-29
Foreskin,The Shed,2021-12-01,Suspended,@IncelSzn,1466054427127734283,F☭RESKIN (RE-UP),657,,2021-12-01,2021-12-13
Foreskin,The Shed,2022-01-06,Suspended,@wastedremix,1470500266306908165,F*reskin,2407,,2021-12-13,2022-01-22
Foreskin,The Shed,2022-01-19,Suspended,@inceltaliban,1477784273293918210,INCEL TALIB☭N,1232,,2022-01-02,2022-01-16
Foreskin,The Shed,2022-01-24,Suspended,@incelontheapp,1288649926243766272,Foresk*n,1649,,2020-07-29,2022-01-27
Foreskin,The Shed,2022-01-31,Suspended,@JewsAssRapeKids,,,,,,2022-01-31
Foreskin,The Shed,2022-02-01,Suspended,@heilfauci,3036463260,Fôreskin,770,,2015-02-22,2022-02-01
Foreskin,The Shed,2022-02-01,Suspended,@foreskxn,1488614323626950664,ً,36,,2022-02-01,2022-02-02
Foreskin,The Shed,2022-02-01,Suspended,@hoeless_incel,1487196282724786176,☭,82,,2022-01-28,2022-02-01
Foreskin,The Shed,2022-02-16,Suspended,@foreskin9000,1490328891541671938,foreskin 𓆏,413,,2022-02-06,2022-02-17
Foreskin,The Shed,2022-02-20,Suspended,@fauciloyalist,1494554056349700113,.,,,2022-02-17,2022-02-20
Foreskin,The Shed,2022-02-23,Suspended,@hoeIessincel,1495836482392702985,Foreskin,,,2022-02-21,2022-02-23
Foreskin,The Shed,2022-03-02,Suspended,@F0R35K1N,1498803705147281409,Incel of Kiev,411,,2022-03-01,2022-03-03
Foreskin,The Shed,2022-03-03,Suspended,@faucidoublecup,1499360676627820548,Foresk*n,32,,2022-03-03,2022-03-07
Foreskin,The Shed,2022-03-06,Suspended,@inceltober,1499841703427125254,Incël of Kharkïv,624,,2022-03-04,2022-03-07
Foreskin,The Shed,2022-03-08,Suspended,@NoBitchesZone,1500954224510787584,Incël ꑭ,595,,2022-03-07,2022-03-09
Foreskin,The Shed,2022-03-12,Suspended,@ifeeIdrained,1501960177020461062,ꑭncel,778,,2022-03-10,2022-03-13
Foreskin,The Shed,2022-03-16,Suspended,@aryanelon,1503548589800308742,ꑭ,561,,2022-02-15,2022-03-20
Foreskin,The Shed,2022-03-28,Suspended,@Dark_EIon,1505983589258866689,ELON,1361,,2022-03-21,2022-03-29
Foreskin,The Shed,2022-04-19,Suspended,@LibtardDeath,1514843173213949952,F*RESKIN,1502,,2022-04-14,2022-04-21
Foreskin,The Shed,2022-06-08,Suspended,@OrcScum,,,,,,2022-06-08
Foreskin,The Shed,2022-06-19,Suspended,@PsyopWarfare,,,,,,2022-06-19
Fr. Groyper,The Shed,2020-07-12,Suspended,@SkSteev,1136868315161387008,Father.Groyp🇮🇹🇺🇦🇨🇦,576,,2019-06-07,
Fr. Groyper,The Shed,2020-08-17,Suspended,@steevgroyp,1282837359298576385,Fr. Groyper 🇺🇦🇮🇹🇨🇦,668,,2020-07-13,
Fr. Groyper,The Shed,2021-01-20,Suspended,@steevsh0a,1341506523218862081,Fr. Groyper🇨🇦|🇮🇹|🇺🇦,497,,2020-12-22,
Fr. Groyper,The Shed,2021-02-18,Suspended,@4sh0ah,1354202179347746816,Fr. Groyper🫒🍋,485,,2021-01-26,
Fr. Groyper,The Shed,2021-02-26,Suspended,@Sh0ahisFine,1363883202939600901,Fr. Groyper🇨🇦|🇮🇹/🇺🇦|🍋🍊,573,,2021-02-22,
Fr. Groyper,The Shed,2021-06-08,Suspended,@T06iXmafia,1368704291339374594,Fr. Groyper🍊🍋,,,2021-03-07,2021-06-16
Fr. Groyper,The Shed,2021-06-19,Suspended,@t06ixdude,1406050513704177668,Fr. Groyper,,,2021-06-18,2021-06-29
Fr. Groyper,The Shed,2021-07-03,Suspended,@6ixmanback,1411190902434025472,Some Father Priest,235,,2021-07-03,2021-07-12
Fr. Groyper,The Shed,2021-07-12,Suspended,@6ix0nup,1414722660072894472,Fr. Groyper,595,,2021-07-12,2021-09-18
Fr. Groyper,The Shed,2021-10-04,Suspended,@6ixsuze,1439085198285721603,Ƒɾ. Ɠɾօվքҽɾ,350,,2021-09-18,2021-10-07
Fr. Groyper,The Shed,2021-11-04,Suspended,@6ix707087,1447268534887796741,Fᵣ. Gᵣₒyₚₑᵣ,335,,2021-10-10,2021-11-08
Fr. Groyper,The Shed,2021-11-11,Suspended,@6ixSteve,1458047427097808896,₣Ɽ. ₲ⱤØɎ₱ɆⱤ,,,2021-11-09,2021-11-15
Fr. Groyper,The Shed,2021-11-15,Suspended,@JimmyYitz,1460139779203510274,F̷a̷t̷h̷e̷r̷ ̷G̷.̷,96,,2021-11-15,2021-12-13
Fr. Groyper,The Shed,2021-12-14,Suspended,@6ix6er,1470724539466326025,₣₳₮ⱧɆⱤ ₲,172,,2021-12-14,2021-12-22
Fr. Groyper,The Shed,2022-01-09,Suspended,@6ixSteve0,1474070464129650697,Fr. Gr0yp3®,264,,2021-12-23,2022-01-12
Fr. Groyper,The Shed,2022-01-24,Suspended,@6ix3r,1483392279100411904,ᠻ᥅. ᧁ᥅ꪮꪗρꫀ᥅,315,,2022-01-18,2022-01-26
Fr. Groyper,The Shed,2022-01-26,Suspended,@6ix_steve,1486458403866169352,₣Ɽ. ₲ⱤØɎ₱ɆⱤ,,,2022-01-26,2022-01-27
Fr. Groyper,The Shed,2022-01-29,Suspended,@6ixup7up,1486824700462387200,Mðñ§ïgñðr Grð¥þ,240,,2022-01-27,2022-01-30
Fr. Groyper,The Shed,2022-01-31,Suspended,@6ixSte,1488313337586892800,𝐹𝒶𝓉𝒽𝑒𝓇 𝒢,82,,2022-01-31,2022-02-01
Fr. Groyper,The Shed,2022-02-12,Suspended,@6ixt33n6,1489768066397491202,₣₳₮ⱧɆⱤ,193,,2022-02-04,2022-02-13
Fr. Groyper,The Shed,2022-02-14,Suspended,@6ix7updown,1493345977046114308,𝓕𝓪𝓽𝓱𝓮𝓻,183,,2022-02-14,2022-02-15
Fr. Groyper,The Shed,2022-02-18,Suspended,@steve6ix87,1494410880615866371,Father Groy,30,,2022-02-17,2022-02-19
Fr. Groyper,The Shed,2022-02-23,Suspended,@SiX66Sick,1496245369512017922,Stev0,,,2022-02-22,2022-02-24
Fr. Groyper,The Shed,2022-02-24,Suspended,@un1nter3sted,1496972943359938561,Un1nter3sted,21,,2022-02-24,2022-02-25
Fr. Groyper,The Shed,2022-05-22,Suspended,@XpectinFATH3r,1527851387165544452,,,,2022-05-20,2022-05-23
Frakes,The Shed,2020-01-01,Suspended,@_Vitamin_See,984804736976158721,RealCozyFrakes,1262,,2018-04-13,
Frakes,The Shed,2021-02-18,Suspended,@RealBadFrakes,1324781880143712257,That Orange Groyper🍊,1543,,2020-11-06,
Frakes,The Shed,2021-02-19,Suspended,@BadFrakes,1353902235458146306,RealBadFrakes,314,,2021-01-26,
Frakes,The Shed,2021-06-09,Suspended,@wheresmycoffee8,1404206636743282692,𝕰𝖑𝖉𝖗𝖎𝖙𝖈𝖍𝕯𝖊𝖘𝖙𝖗𝖔𝖞𝖊𝖗𝕱𝖗𝖆𝖐𝖊𝖘,,,2021-06-12,2021-06-23
Frakes,The Shed,2021-06-09,Suspended,@CoffeeIsReady1,1368684050236510215,Orange Frakes🍊,537,,2021-03-07,
Frakes,The Shed,2021-06-23,Suspended,@lilorangefrakes,1407629581645979652,ɭเɭ๏гคภﻮєŦгคкєร,226,,2021-06-23,2021-06-29
Frakes,The Shed,2021-06-29,Suspended,@FrakesTheOrange,1409999016755183622,Շђє๏гคภﻮєŦгคкєร,,,2021-06-29,2021-07-12
Frakes,The Shed,2021-07-12,Suspended,@CoffeeFrakes,1414606256367566850,օʀǟռɢɛƈօʄʄɛɛʄʀǟӄɛֆ,,,2021-07-12,2021-08-09
Frakes,The Shed,2021-10-04,Suspended,@OramjFrakes,1424703438236098563,ֆքօօӄʏօʀǟʍʝʄʀǟӄɛֆ,605,,2021-08-09,2021-10-07
Frakes,The Shed,2021-10-12,Suspended,@0r4mjFr4k3s,1446512672376332294,օʀǟռɢɛʄʀǟӄɛֆ,327,,2021-10-08,2021-10-22
Frakes,The Shed,2021-11-04,Suspended,@OramjUGlad,1452014630864314379,OramjUGlad,355,,2021-10-23,2021-11-08
Frakes,The Shed,2021-11-11,Suspended,@OramgStayLiving,1458044010061312000,օʀǟʍɢʄʀǟӄɛֆǟʟɨʋɛ,329,,2021-11-09,2021-11-15
Frakes,The Shed,2021-11-15,Suspended,@Or4mGfr4k3s,1460137861110538244,ʄʀǟӄɛֆǟʟɨʋɛ,120,,2021-11-15,2021-12-13
Frakes,The Shed,2021-12-13,Suspended,@th4t0r4ng3,1470357058012819459,Th4t0r4ng3Fr4k3s,214,,2021-12-13,2021-12-22
Frakes,The Shed,2022-01-10,Suspended,@coffee_oranges,1473745932114145280,Frakes,437,,2021-12-22,2022-01-12
Frakes,The Shed,2022-01-24,Suspended,@FrakesLives,1483392573083426817,FrakesLives,377,,2022-01-18,2022-01-26
Frakes,The Shed,2022-01-26,Suspended,@R34lB4d0r4ng3,1486458010264346629,RealBadOrange,,,2022-01-26,2022-01-27
Frakes,The Shed,2022-01-29,Suspended,@K0ff33Kw33n,1486712007726276621,KoffeeKween,248,,2022-01-27,2022-01-30
Frakes,The Shed,2022-01-31,Suspended,@il0v36ix,1487600449918230534,OrangeLoves6ix,214,,2022-01-29,2022-02-01
Frakes,The Shed,2022-02-13,Suspended,@heartblngs26ix,1489629247736102912,MissyLives,213,,2022-02-04,2022-02-14
Frakes,The Shed,2022-02-14,Suspended,@FragesFrages,1493224178899734540,Frages,222,,2022-02-14,2022-02-15
Frakes,The Shed,2022-02-18,Suspended,@SushiQ88,1494410799946870794,𝕊𝕦𝕤𝕙𝕚ℚ,104,,2022-02-17,2022-02-19
Frakes,The Shed,2022-02-23,Suspended,@SushiQ6ix,1495170528071540741,SushiQ,,,2022-02-19,2022-02-24
Frakes,The Shed,2022-02-24,Suspended,@SushiQ_88,1496962631915159552,𝕊𝕦𝕤𝕙𝕚ℚ,57,,2022-02-24,2022-02-25
Frakes,The Shed,2022-04-19,Suspended,@Fr4ks1e,1515124311551524864,Fraksie,259,,2022-04-15,2022-04-19
Frakes,The Shed,2022-05-24,Suspended,@ohaifraksie,1528063061503922177,,,,2022-05-20,2022-05-23
Frakes,The Shed,2022-05-24,Suspended,@thatsfrakedup,,,,,,2022-05-24
Frakes,The Shed,2022-07-09,Suspended,@number1rbf,,,,,,2022-07-09
Franco,Nazi,2019-12-20,Suspended,@DrFrancoPhuket,1188889969999437824,"𝕱𝖗𝖆𝖓𝖐 𝕱𝖗𝖆𝖓𝖈𝖔,𝕻𝖍𝕯 🇺🇸🇮🇹 💯%Trump",7993,,2019-10-27,2019-12-20
Franco,Nazi,2020-01-05,Suspended,@DrFrancoPhuket2,1206692067587624961,"𝕱𝖗𝖆𝖓𝖐 𝕱𝖗𝖆𝖓𝖈𝖔,𝕻𝖍𝕯 🇺🇸🇮🇹 💯%Trump 206",,,2019-12-17,2020-01-05
Franco,Nazi,2020-01-21,Suspended,@DrFrancoDaFuker,1213972717969403904,"𝕯𝖗. 𝕱𝖗𝖆𝖓𝖈𝖔, 𝕻𝖍𝕯 100% Trump🇺🇸🇮🇹 #KAG",,,2020-01-06,
Franco,Nazi,2022-05-23,Suspended,@graduated_eboy,1528034703353200640,,,,2022-05-20,2022-05-23
Franco,Nazi,2022-05-23,Suspended,@punished_eboy,1271162058378301440,,,,2020-06-11,2020-11-23
Frat,The Shed,2020-01-01,Suspended,@Yourfratpresid1,1223059130128195585,,,,2020-01-31,
Frat,The Shed,2020-05-28,Suspended,@everybo73674632,1265757211860578304,Everybody Loves The Frat,,,2020-05-28,
Frat,The Shed,2020-05-29,Suspended,@Yournei36165958,1266229921061449729,Everyone Loves The Frat,,,2020-05-29,2020-06-01
Frat,The Shed,2020-05-29,Suspended,@Thesquadfrat,1266207406876434432,The Frat Squad,,,2020-05-29,2020-11-04
Frat,The Shed,2020-11-10,Suspended,@Fratsquadprezjt,1325945639935627264,Frat Squad Prez JT,,,2020-11-10,2020-11-17
Frat,The Shed,2020-11-17,Suspended,@jtthefratprezzy,1328498378003582977,JT The Frat Prezzy,,,2020-11-17,2020-11-26
Frat,The Shed,2020-11-26,Deactivated,@thefratprezzyjd,1331719951665782788,The Frat Prezzy JD,,,2020-11-26,
Frat,The Shed,2021-02-28,Suspended,@fratprezzyprez,1359209514713579522,JD KAPPA Frat Prezzy,242,,2021-02-09,
Frat,The Shed,2021-02-28,Suspended,@jtthatfratdude,1361104468255920132,JT That Frat Dude,216,,2021-02-15,
Frat,The Shed,2021-03-02,Suspended,@TeddysandersN,1366566631414071299,Teddy Sanders Kappa Nu,,,2021-03-02,2021-04-30
Frat,The Shed,2021-03-02,Suspended,@fratprezzy,1352769092332228609,,,,2021-01-22,
Frat,The Shed,2021-04-30,Suspended,@TeddysandersU,1388217246300917761,Teddy Sanders USC,,,2021-04-30,2021-05-06
Frat,The Shed,2021-05-07,Suspended,@Tkappanu,1390388843786948609,Ted Sanders Kappa Nu,,,2021-05-06,2021-05-11
Frat,The Shed,2021-05-21,Suspended,@donthazemebrah,1395511983571673089,Ted Sanders Kappa Nu,,,2021-05-20,2021-05-31
Frat,The Shed,2021-06-08,Suspended,@teddyvanwilder,1399826889594785809,Teddy Van Wilder,153,,2021-06-01,2021-06-16
Frat,The Shed,2021-06-17,Suspended,@redsolocupteddy,1405614572627767300,Red Solo Cup Teddy,161,,2021-06-17,2021-07-12
Frat,The Shed,2021-10-01,Suspended,@ToFratTooCare,1422300989902753795,Your Boi Ted,221,,2021-08-02,2021-10-07
Frat,The Shed,2021-10-10,Suspended,@TheodoreChadJr,1446198282825474051,Theodore Saunders Jr,142,,2021-10-07,2021-11-08
Frat,The Shed,2021-11-10,Suspended,@fratguyteddy,1457813152968577024,Fratguyteddy,177,,2021-11-08,2021-11-15
Frat,The Shed,2021-11-15,Suspended,@teddyfratbro,1460319843010289668,Teddyfratbro,138,,2021-11-15,2021-12-13
Frat,The Shed,2022-01-10,Suspended,@teddyfratprez,1470861390013353984,Teddyfratprez,227,,2021-12-14,2022-01-12
Frat,The Shed,2022-01-25,Suspended,@tedsandersbrah,1482058643289694208,Teddysandersbro,187,,2022-01-14,2022-01-26
Frat,The Shed,2022-01-26,Suspended,@tedsandersdude,1486406483797364737,Tedsandersdude,,,2022-01-26,2022-01-27
Frat,The Shed,2022-01-31,Suspended,@DeltaSiBetaPrez,1486775132852932608,DeltaSiBetaTeddy,159,,2022-01-27,2022-02-01
Frat,The Shed,2022-02-01,Suspended,@teddysandersyo,1488582759043846144,Teddysandersyo,115,,2022-02-01,2022-02-02
Frat,The Shed,2022-02-02,Suspended,@redfratpolojd,1488944390756134913,RedFratPoloJD,100,,2022-02-02,2022-02-04
Frat,The Shed,2022-02-11,Suspended,@teddyyourbro,1489779135786496004,Teddyyourbro,153,,2022-02-04,2022-02-14
Frat,The Shed,2022-02-14,Suspended,@Nextdoorfrat,1493344151529734146,YourFratNeighbor,83,,2022-02-14,2022-02-15
Frat,The Shed,2022-02-16,Suspended,@TjUSCbro,1494108078467428353,TjUSCbro,66,,2022-02-16,2022-02-18
Frat,The Shed,2022-02-22,Suspended,@DanaGelman2,1295072047370887169,Dana Gelman,,,2020-08-16,2022-02-23
Frat,The Shed,2022-03-06,Suspended,@FratbashTad,1295231820498313222,Frat Bash Tad,131,,2020-08-16,2022-03-07
Frat,The Shed,2022-03-09,Suspended,@LifeguardMattyB,1299788780791050241,LifeguardMatt,94,,2020-08-29,2022-03-09
Frat,The Shed,2022-04-19,Suspended,@JoseSanderAmigo,1169885604420575232,Jose Sanders Amigo,126,,2019-09-06,2022-04-21
Frat,The Shed,2022-04-22,Suspended,@USCbroChet,1256673122033389568,USC Bro Chet,,,2020-05-02,2022-04-22
Frat,The Shed,2022-04-24,Suspended,@SCbrosfromdarow,,,,,,2022-04-25
Frat,The Shed,2022-04-29,Suspended,@Teddiesonderjr,912994061593714693,Teddie Sonders Jr,88,,2017-09-27,2022-04-30
Frat,The Shed,2022-06-02,Suspended,@BeerRunTroy,3061336842,BeerRunTroy,89,,2015-03-04,2022-06-03
Frat,The Shed,2022-06-04,Suspended,@SoCaliTommy,,,,,,2022-06-04
Frat,The Shed,2022-06-06,Suspended,@KeggerBroTom,,,,,,2022-06-06
Frat,The Shed,2022-06-09,Suspended,@CollegeLifeZac,,,,,,2022-06-07
Frat,The Shed,2022-06-11,Suspended,@DrinkingClubTim,1288530628372082694,,,,2020-07-29,2022-06-09
Frat,The Shed,2022-06-12,Suspended,@CampusDerek,,,,,,2022-06-11
Frat,The Shed,2022-06-12,Suspended,@YourBoyBrittan,,,,,,2022-06-12
Frat,The Shed,2022-06-18,Suspended,@BeachBroTrey,,,,,,2022-06-18
Frat,The Shed,2022-06-21,Suspended,@misteralphachi,,,,,,2022-06-21
Frat,The Shed,2022-06-22,Suspended,@SkiBroJD,,,,,,2022-06-22
Frat,The Shed,2022-06-25,Suspended,@ThyFratKing,,,,,,2022-06-25
Frat,The Shed,2022-07-09,Suspended,@ChipLongworthJr,,,,,,2022-07-09
Frat,The Shed,2022-07-20,Suspended,@LanceHarborWC,,,,,,2022-07-20
Frederic Pine,Patriot Front,2021-02-18,Suspended,@Fredericpine_14,1164381947264737281,Frederic 🌲 Pine,1408,,2019-08-22,
Frederic Pine,Patriot Front,2021-06-04,Suspended,@FredericPine13,1255860022883561474,Frederic Pine,88,,2020-04-30,
Frederic Pine,Patriot Front,2021-11-11,Suspended,@FredericPine1,1453191465153138691,Frederic Mason Pine,48,,2021-10-26,2021-12-13
Frederic Pine,Patriot Front,2022-01-18,Suspended,@FredericMPine1,1470971570604683266,Frederic Mason Pine,57,,2021-12-14,2022-01-22
Frederic Pine,Patriot Front,2022-01-18,Suspended,@FredericPine2,1486494915722981379,Frederic Mason Pine,,,2022-01-26,2022-01-18
Freeman,RGC,2021-11-12,Suspended,@DrG0rdonFreeman,1400246130613571585,戈登 Freeman 🇨🇳,,,2021-06-02,2022-03-07
Freeman,RGC,2022-03-07,Suspended,@boItboy47,1424836282400878593,Gordon Freeman,308,,2021-08-09,2022-03-08
Freeman,RGC,2022-03-08,Suspended,@fatretardlarper,1431812204496576513,Freeman,216,,2021-08-28,2022-03-09
Freeman,RGC,2022-03-09,Suspended,@keeteron90,1501320578703282179,λ Terry Betgon λ,0,,2022-03-08,2022-03-10
Freeman,RGC,2022-03-21,Suspended,@racistlarper,1505003593069387779,🌲 ATQM FRQNT 🌲,,,2022-03-19,2022-03-21
Freya,RGC adj,2020-08-28,Suspended,@FreyaSkol,1290803620632342528,𝕱𝖗𝖊𝖞𝖆,239,,2020-08-04,2020-09-29
Freya,RGC adj,2022-01-29,Suspended,@originalfreya,1224908761950756866,originalfreya,79,,2020-02-04,2022-02-20
Freya,RGC adj,2022-02-20,Suspended,@Captain_Freya,1493633507419172871,Capt.Freya 🇳🇴,,,2022-02-15,2022-02-20
Freya,RGC adj,2022-02-21,Suspended,@NightmxreWraith,1495540948922736644,Freya 🇳🇴,49,,2022-02-20,2022-02-22
Freya,RGC adj,2022-03-02,Suspended,@Shadow_Freja,1498367614757879808,Freya🇷🇺,34,,2022-02-28,2022-03-03
Freya,RGC adj,2022-03-13,Suspended,@ExNIS_OpF,1502795297277321223,Freya,11,,2022-03-12,2022-03-14
